author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ИнтерАктив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/299466393/,Новосибирск,sale,flat,5,5,3,58.7,-1,0,5000000,Ленинский, Немировича-Данченко,26,Площадь Маркса,
Самолет Плюс Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302582154/,Новосибирск,sale,flat,15,22,1,35.0,-1,0,4550000,Октябрьский, Декабристов,115,Речной вокзал,Октябрьский квартал
Телецентр,developer,https://novosibirsk.cian.ru/sale/flat/293305362/,Новосибирск,sale,flat,13,25,3,55.2,-1,0,9500000,Ленинский,переулок 3-й Римского-Корсакова,,Площадь Маркса,1956. Кварталы Телецентра
Дом Профи,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/297011495/,Новосибирск,sale,flat,13,18,2,73.0,-1,0,11700000,Заельцовский, Дуси Ковальчук,250,Заельцовская,
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300596533/,Новосибирск,sale,flat,11,17,1,23.0,-1,0,2700000,Ленинский, Забалуева,102,Площадь Маркса,
Телецентр,developer,https://novosibirsk.cian.ru/sale/flat/301248820/,Новосибирск,sale,flat,6,9,4,78.99,-1,0,12600000,Ленинский,,,Площадь Маркса,19/56 Кварталы Телецентра ЖК
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302539582/,Новосибирск,sale,flat,8,10,2,42.3,-1,0,3550000,Кировский, Виктора Шевелева,36/1,Студенческая,Просторный
Сибирь Девелопмент,developer,https://novosibirsk.cian.ru/sale/flat/284461561/,Новосибирск,sale,flat,3,25,2,124.8,-1,0,15397400,Заельцовский,Овражная ,2А,Заельцовская,Тайм Сквер
Wall Street,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300801617/,Новосибирск,sale,flat,7,18,1,45.2,-1,0,5300000,Калининский, Тюленина,12,Заельцовская,
Самолет Плюс Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302521340/,Новосибирск,sale,flat,11,17,1,37.4,-1,0,3450000,Кировский, Петухова,158,Студенческая,Тулинка
Брусника,developer,https://novosibirsk.cian.ru/sale/flat/302096121/,Новосибирск,sale,flat,4,15,1,47.78,-1,0,7990000,Заельцовский, Аэропорт,88,Заельцовская,Авиатор
ФОРУМ,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/275974188/,Новосибирск,sale,flat,4,17,1,26.4,-1,0,3150000,Кировский, Александра Чистякова,22/1,Студенческая,Акварельный 3.0
Телецентр,developer,https://novosibirsk.cian.ru/sale/flat/301248986/,Новосибирск,sale,flat,8,9,4,76.87,-1,0,12000000,Ленинский,,,Площадь Маркса,19/56 Кварталы Телецентра ЖК
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300587898/,Новосибирск,sale,flat,1,5,2,45.0,-1,0,3400000,Ленинский,Степная ,62,Площадь Маркса,
